hour,temp,wind_speed_km,humidity_percent,pressure_mb,pm_10,pm_2_5,no_2,o_3,so_2,co,aqi
12,31.1,19.3,62.0,1007.0,85.0,22.0,32.0,5.0,4.0,97.0,103.0
13,31.1,25.7,62.0,1007.0,84.0,23.0,35.0,4.0,5.0,98.0,103.0
14,31.1,20.9,65.0,1007.1,86.0,23.0,7.0,35.0,4.0,97.0,104.0
15,31.1,29.0,65.0,1006.1,85.0,24.0,7.0,36.0,4.0,96.0,103.0
16,30.0,20.9,65.0,1006.1,82.0,23.0,8.0,37.0,4.0,99.0,101.0
17,30.0,22.5,69.0,1006.1,82.0,22.0,8.0,35.0,5.0,102.0,101.0
18,28.9,14.5,65.0,1006.1,82.0,22.0,9.0,33.0,5.0,104.0,101.0
19,27.8,14.5,73.0,1006.1,78.0,21.0,7.0,31.0,5.0,124.0,98.0
20,27.8,11.3,73.0,1007.1,75.0,21.0,11.0,27.0,5.0,144.0,93.0
21,27.2,16.1,78.0,1007.1,68.0,21.0,8.0,23.0,6.0,165.0,83.0
22,27.2,12.9,78.0,1008.1,67.0,22.0,11.0,19.0,6.0,164.0,81.0
23,27.2,14.5,78.0,1008.1,67.0,21.0,10.0,18.0,6.0,164.0,81.0
0,27.2,12.9,78.0,1008.1,67.0,22.0,10.0,18.0,6.0,164.0,81.0
1,27.2,9.7,78.0,1008.1,67.0,22.0,10.0,18.0,5.0,139.0,82.0
2,26.1,9.7,83.0,1007.1,67.0,21.0,9.0,19.0,4.0,127.0,82.0
3,26.1,9.7,83.0,1007.1,67.0,21.0,8.0,21.0,4.0,114.0,81.0
4,26.1,9.7,83.0,1007.1,66.0,20.0,6.0,22.0,4.0,107.0,80.0
6,27.2,11.3,78.0,1007.1,62.0,18.0,7.0,23.0,3.0,98.0,74.0
8,27.2,9.7,78.0,1008.1,60.0,18.0,8.0,23.0,4.0,104.0,72.0
9,28.9,14.5,74.0,1008.1,61.0,18.0,8.0,23.0,4.0,111.0,72.0
10,27.8,19.3,69.0,1008.1,66.0,19.0,8.0,23.0,4.0,104.0,80.0
11,28.9,14.5,65.0,1008.1,73.0,19.0,7.0,27.0,4.0,98.0,91.0
12,30.0,19.3,61.0,1008.1,77.0,21.0,6.0,31.0,4.0,91.0,95.0
13,30.0,22.5,61.0,1007.1,80.0,21.0,8.0,34.0,4.0,93.0,99.0
14,31.1,11.3,54.0,1006.1,79.0,21.0,7.0,34.0,4.0,92.0,98.0
15,31.1,22.5,54.0,1006.1,79.0,22.0,7.0,35.0,4.0,91.0,99.0
16,30.0,24.1,58.0,1005.1,77.0,21.0,7.0,35.0,4.0,94.0,96.0
17,28.9,19.3,57.0,1006.1,78.0,21.0,8.0,34.0,4.0,97.0,97.0
18,28.9,22.5,57.0,1006.1,76.0,21.0,9.0,32.0,4.0,100.0,94.0
19,27.8,14.5,69.0,1006.1,74.0,20.0,8.0,31.0,5.0,117.0,91.0
20,27.2,14.5,78.0,1006.1,72.0,20.0,12.0,27.0,5.0,134.0,89.0
21,27.2,19.3,78.0,1007.1,62.0,20.0,12.0,24.0,5.0,151.0,74.0
22,27.2,19.3,78.0,1007.1,58.0,19.0,11.0,20.0,5.0,152.0,69.0
23,27.2,19.3,78.0,1007.1,56.0,19.0,10.0,20.0,5.0,152.0,66.0
0,27.2,16.1,78.0,1007.1,54.0,19.0,9.0,21.0,5.0,153.0,63.0
1,27.2,11.3,78.0,1007.1,53.0,18.0,9.0,21.0,4.0,128.0,62.0
2,27.2,11.3,78.0,1007.1,51.0,17.0,8.0,22.0,4.0,116.0,59.0
3,27.2,16.1,78.0,1006.1,49.0,16.0,7.0,23.0,3.0,103.0,56.0
4,27.2,14.5,78.0,1006.1,48.0,15.0,7.0,23.0,3.0,97.0,54.0
6,27.2,16.1,78.0,1007.1,45.0,14.0,6.0,23.0,3.0,92.0,50.0
8,27.2,11.3,78.0,1008.1,45.0,15.0,9.0,23.0,4.0,99.0,50.0
9,28.9,12.9,69.0,1008.1,48.0,15.0,8.0,23.0,4.0,107.0,54.0
10,30.0,20.9,65.0,1009.1,49.0,16.0,9.0,23.0,4.0,102.0,56.0
11,31.1,20.9,62.0,1008.1,56.0,16.0,8.0,26.0,4.0,97.0,66.0
12,31.1,22.5,62.0,1008.1,66.0,19.0,7.0,29.0,4.0,92.0,80.0
13,31.1,20.9,65.0,1007.1,64.0,19.0,9.0,32.0,4.0,87.0,76.0
14,30.0,24.1,65.0,1007.1,63.0,19.0,8.0,32.0,4.0,86.0,76.0
15,30.0,29.0,65.0,1007.1,62.0,19.0,9.0,32.0,4.0,86.0,74.0
16,30.0,33.8,65.0,1006.1,58.0,18.0,8.0,32.0,4.0,88.0,69.0
17,28.9,22.5,65.0,1007.1,55.0,18.0,11.0,30.0,4.0,94.0,64.0
18,28.9,24.1,65.0,1007.1,55.0,18.0,11.0,30.0,4.0,94.0,64.0
19,27.8,19.3,73.0,1007.1,48.0,16.0,9.0,27.0,5.0,108.0,54.0
20,27.8,19.3,69.0,1008.1,15.0,42.0,13.0,25.0,5.0,122.0,49.0
21,27.2,20.9,78.0,1008.1,15.0,36.0,13.0,22.0,5.0,135.0,49.0